mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__activation,param_mlp__alpha,param_mlp__hidden_layer_sizes,param_mlp__learning_rate,param_mlp__learning_rate_init,param_scaler__with_mean,param_scaler__with_std,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
33.430658960342406,3.52404727135191,0.060175848007202146,0.045444315189119296,relu,0.0001,"(50, 50)",constant,0.01,True,False,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate': 'constant', 'mlp__learning_rate_init': 0.01, 'scaler__with_mean': True, 'scaler__with_std': False}",0.5998220301277569,0.6117572291070861,0.6525332146716674,0.5815638906547997,0.6294342021614749,0.6150221133445569,0.024396498483506165,249
24.144290351867674,4.1220031166767805,0.07474966049194336,0.04200920800655769,relu,0.0001,"(50, 50)",constant,0.01,False,True,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate': 'constant', 'mlp__learning_rate_init': 0.01, 'scaler__with_mean': False, 'scaler__with_std': True}",0.5978516493993516,0.5995551318716238,0.6853982582162609,0.5909090909090909,0.6276541640178004,0.6202736588828255,0.03489976222687727,82
43.523576974868774,16.803880599030833,0.06413836479187011,0.016201171028709004,relu,0.0001,"(50, 50)",constant,0.01,False,False,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate': 'constant', 'mlp__learning_rate_init': 0.01, 'scaler__with_mean': False, 'scaler__with_std': False}",0.5789741308078561,0.6070543374642516,0.6708410145572437,0.606993006993007,0.6183089637635092,0.6164342907171736,0.03014627983635513,215
169.59753971099855,32.49642920565576,0.1939012050628662,0.03094479575649035,relu,0.0001,"(100, 50)",constant,0.001,True,True,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate': 'constant', 'mlp__learning_rate_init': 0.001, 'scaler__with_mean': True, 'scaler__with_std': True}",0.589525201805123,0.6005719733079123,0.6850168457186447,0.5893833439287984,0.6285441830896377,0.6186083095700232,0.03614982836959548,139
157.89663214683532,56.197294341248956,0.15529565811157225,0.0450415451246268,relu,0.0001,"(100, 50)",constant,0.001,True,False,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate': 'constant', 'mlp__learning_rate_init': 0.001, 'scaler__with_mean': True, 'scaler__with_std': False}",0.5918133858768194,0.6021607880521131,0.6827283707329477,0.5853782581055308,0.6153846153846154,0.6154930836304053,0.03511688056933135,237
159.81024265289307,49.346549462953845,0.21976327896118164,0.059882115022376184,relu,0.0001,"(100, 50)",constant,0.001,False,True,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate': 'constant', 'mlp__learning_rate_init': 0.001, 'scaler__with_mean': False, 'scaler__with_std': True}",0.5810716328735779,0.6055926278995869,0.6837454707265908,0.5987921169739352,0.6290527654164018,0.6196509227780185,0.03554600614899237,103
215.9439573287964,11.315760929720252,0.17579989433288573,0.031336343964615716,relu,0.0001,"(100, 50)",constant,0.001,False,False,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate': 'constant', 'mlp__learning_rate_init': 0.001, 'scaler__with_mean': False, 'scaler__with_std': False}",0.5945464946291235,0.6161423578010804,0.6785964020087725,0.5866497139224411,0.6247933884297521,0.6201456713582338,0.0323462910416148,88
46.54712753295898,14.254306869343534,0.07398462295532227,0.017489865605577335,relu,0.0001,"(100, 50)",constant,0.01,True,True,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate': 'constant', 'mlp__learning_rate_init': 0.01, 'scaler__with_mean': True, 'scaler__with_std': True}",0.5988050594292252,0.6022878932316492,0.6768800457694997,0.5929434202161475,0.6202161474888748,0.6182265132270792,0.0307072069435851,158
40.172674083709715,16.27537434185664,0.06136775016784668,0.01328880042584182,relu,0.0001,"(100, 50)",constant,0.01,True,False,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate': 'constant', 'mlp__learning_rate_init': 0.01, 'scaler__with_mean': True, 'scaler__with_std': False}",0.5902879298290218,0.5918652685096918,0.6691246583179709,0.598283534647171,0.6200254291163382,0.6139173640840386,0.02957774670377758,273
37.49358677864075,10.948952979307498,0.10457992553710938,0.058712667458520836,relu,0.0001,"(100, 50)",constant,0.01,False,True,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate': 'constant', 'mlp__learning_rate_init': 0.01, 'scaler__with_mean': False, 'scaler__with_std': True}",0.5969618000381364,0.5936447410231966,0.6769436145191025,0.5899554990464081,0.6151303242212333,0.6145271957696152,0.032386915310777704,259
