,timestamp,username,message_type,message,trip_idx
300,1684369696.4180532,Fly,collecting_data,false,90
301,1684369959.550232,Possum,collecting_data,true,274
302,1684370022.87186,Possum,sitting_on_bus,true,274
303,1684370039.707128,Possum,seat_location,back,274
304,1684370396.9941769,Possum,collecting_data,false,274
305,1684374281.100543,Toad,collecting_data,true,427
306,1684374296.603807,Toad,sitting_on_bus,true,427
307,1684374312.8382,Toad,seat_location,back,427
308,1684374395.564159,Toad,collecting_data,false,427
309,1684375490.030398,Jaguar,collecting_data,true,-1
310,1684380306.277135,Cod,collecting_data,true,-1
311,1684380343.427314,Cod,collecting_data,true,46
312,1684380349.541386,Cod,sitting_on_bus,true,46
313,1684380366.883827,Cod,seat_location,back,46
314,1684380509.653067,Cod,collecting_data,false,46
315,1684386208.550374,Jaguar,collecting_data,true,147
316,1684386266.561369,Jaguar,sitting_on_bus,true,147
317,1684386277.181643,Jaguar,collecting_data,true,147
318,1684386280.267978,Jaguar,sitting_on_bus,true,147
319,1684386296.575611,Jaguar,seat_location,middle,147
320,1684386452.059445,Jaguar,collecting_data,false,147
321,1684391002.902869,Jaguar,collecting_data,true,148
322,1684391023.758418,Jaguar,sitting_on_bus,true,148
323,1684391040.063205,Jaguar,seat_location,middle,148
324,1684391209.8017669,Jaguar,collecting_data,false,148
325,1684420908.287097,Squid,collecting_data,true,356
326,1684420911.860574,Squid,sitting_on_bus,true,356
327,1684420930.110567,Squid,seat_location,middle,356
328,1684421208.13465,Squid,collecting_data,false,356
329,1684421310.180712,Possum,collecting_data,true,275
330,1684421412.999792,Possum,sitting_on_bus,true,275
331,1684421424.745746,Possum,seat_location,back,275
332,1684422003.402786,Possum,collecting_data,false,275
333,1684427049.635222,Horse,collecting_data,true,-1
334,1684427108.701647,Horse,collecting_data,true,134
335,1684427117.595564,Horse,sitting_on_bus,true,134
336,1684427134.87891,Horse,seat_location,back,134
337,1684427292.9548311,Horse,collecting_data,false,134
338,1684431832.1868591,Jaguar,collecting_data,true,-1
339,1684434302.638033,Elk,collecting_data,true,83
340,1684434360.714467,Elk,sitting_on_bus,true,83
341,1684434377.330349,Elk,seat_location,front,83
342,1684435395.874032,Cat,collecting_data,true,-1
343,1684440750.511796,Possum,collecting_data,true,276
344,1684440796.1147509,Possum,sitting_on_bus,true,276
345,1684440815.2944632,Possum,seat_location,middle,276
346,1684441194.741122,Possum,collecting_data,false,276
347,1684441280.373166,Starfish,collecting_data,true,406
348,1684441333.812491,Starfish,sitting_on_bus,true,406
349,1684441355.5719829,Starfish,seat_location,back,406
350,1684441583.3861852,Starfish,collecting_data,false,406
351,1684442799.718981,Squid,collecting_data,true,357
352,1684442827.770892,Squid,sitting_on_bus,true,357
353,1684442845.0572429,Squid,seat_location,back,357
354,1684445100.677222,Jaguar,collecting_data,true,-1
355,1684445167.5992808,Jaguar,collecting_data,true,-1
356,1684445242.5268378,Jaguar,collecting_data,true,149
357,1684445256.580377,Jaguar,sitting_on_bus,true,149
358,1684445272.9675431,Jaguar,seat_location,back,149
359,1684445423.891172,Jaguar,collecting_data,false,149
360,1684445738.714424,Toad,collecting_data,true,428
361,1684445764.973995,Toad,sitting_on_bus,true,428
362,1684445889.908872,Toad,collecting_data,true,428
363,1684445902.974866,Toad,sitting_on_bus,true,428
364,1684445920.120745,Toad,seat_location,middle,428
365,1684446015.071676,Toad,collecting_data,false,428
366,1684446078.913872,Toad,collecting_data,true,-1
367,1684446705.070934,Cod,collecting_data,true,-1
368,1684446750.687232,Cod,collecting_data,true,-1
369,1684446806.5077171,Cod,collecting_data,true,47
370,1684446809.316071,Cod,sitting_on_bus,true,47
371,1684446826.041393,Cod,seat_location,middle,47
372,1684447035.735778,Cod,collecting_data,false,47
373,1684453864.793433,Starfish,collecting_data,true,407
374,1684453905.1602058,Starfish,sitting_on_bus,true,407
375,1684453922.216167,Starfish,seat_location,front,407
376,1684453984.385991,Starfish,collecting_data,false,407
377,1684511240.684649,Horse,collecting_data,true,-1
378,1684511296.635532,Horse,collecting_data,true,135
379,1684511299.617553,Horse,sitting_on_bus,true,135
380,1684511316.509046,Horse,seat_location,front,135
381,1684511665.127963,Horse,collecting_data,false,135
382,1684511678.636814,Horse,collecting_data,true,-1
383,1684517683.525488,Starfish,collecting_data,true,408
384,1684517730.884431,Starfish,sitting_on_bus,true,408
385,1684517750.518489,Starfish,seat_location,front,408
386,1684517817.552868,Starfish,collecting_data,false,408
387,1684520118.445176,Possum,collecting_data,true,277
388,1684520132.513068,Possum,sitting_on_bus,true,277
389,1684520149.128976,Possum,seat_location,middle,277
390,1684520749.308072,Possum,collecting_data,false,277
391,1684522198.345372,Jaguar,collecting_data,true,150
392,1684522215.499323,Jaguar,sitting_on_bus,true,150
393,1684522231.558076,Jaguar,seat_location,middle,150
394,1684522575.23157,Jaguar,collecting_data,false,150
395,1684522592.34232,Jaguar,collecting_data,true,-1
396,1684526159.403123,Jaguar,collecting_data,true,151
397,1684526169.0944,Jaguar,sitting_on_bus,true,151
398,1684526183.521562,Jaguar,seat_location,back,151
399,1684526509.928924,Jaguar,collecting_data,false,151
400,1684526662.685371,Spider,collecting_data,true,-1
401,1684526713.198487,Spider,collecting_data,true,343
402,1684526716.228621,Spider,sitting_on_bus,true,343
403,1684526738.397026,Spider,seat_location,middle,343
404,1684526910.176453,Cat,collecting_data,true,7
405,1684526932.930448,Cat,sitting_on_bus,true,7
406,1684526948.878358,Cat,seat_location,middle,7
407,1684526958.989006,Spider,collecting_data,false,343
408,1684527192.0678349,Cat,collecting_data,false,7
409,1684531358.6837091,Squid,collecting_data,true,358
410,1684531370.109324,Squid,sitting_on_bus,true,358
411,1684531385.3137078,Squid,seat_location,middle,358
412,1684531469.108644,Squid,collecting_data,false,358
413,1684532022.22177,Cat,collecting_data,true,8
414,1684532035.70234,Cat,sitting_on_bus,true,8
415,1684532053.832855,Cat,seat_location,middle,8
416,1684532110.337441,Cat,collecting_data,false,8
417,1684559705.157843,Guinea pig,collecting_data,true,121
418,1684559748.749794,Guinea pig,sitting_on_bus,true,121
419,1684559777.7606292,Guinea pig,seat_location,back,121
420,1684560129.8470988,Guinea pig,collecting_data,false,121
421,1684723741.282752,Jaguar,collecting_data,true,152
422,1684723767.238652,Jaguar,sitting_on_bus,true,152
423,1684723783.463756,Jaguar,seat_location,middle,152
